id,name,class,mark,gender,dob
1,John Deo,Four,75,female,26-11-2010
2,Max Ruin,Three,85,male,26-11-2010
3,Arnold,Three,55,male,26-11-2010
4,Krish Star,Four,60,female,26-11-2010
5,John Mike,Four,60,female,26-11-2010
6,Alex John,Four,55,26-11-2010
7,My John Rob,Fifth,78,male,26-11-2010
8,Asruid,Five,85,male,26-11-2010
9,Tes Qry,Six,78,male,26-11-2010
10,Big John,Four,55,female,26-11-2010
11,Ronald,Six,89,female,26-11-2010
12,Recky,Six,94,female,26-11-2010
13,Kty,Seven,88,female,26-11-2010
14,Bigy,Seven,88,female,26-11-2010
15,Tade Row,Four,88,male,26-11-2010
16,Gimmy,Four,88,male,26-11-2010
17,Tumyu,Six,54,male,26-11-2010
18,Honny,Five,75,male,26-11-2010
19,Tinny,Nine,18,male,26-11-2010
20,Jackly,Nine,65,female,26-11-2010
21,Babby John,Four,69,female,26-11-2010
22,Reggid,Seven,55,female,26-11-2010
23,Herod,Eight,79,male,26-11-2010
24,Tiddy Now,Seven,78,male,26-11-2010
25,Giff Tow,Seven,88,male,26-11-2010
26,Crelea,Seven,79,male,26-11-2010
27,Big Nose,Three,81,female,26-11-2010
28,Rojj Base,Seven,86,female,26-11-2010
29,Tess Played,Seven,55,male,26-11-2010
30,Reppy Red,Six,79,female,26-11-2010
31,Marry Toeey,Four,88,male,26-11-2010
32,Binn Rott,Seven,90,female,26-11-2010
33,Kenn Rein,Six,96,female,26-11-2010
34,Gain Toe,Seven,69,male,26-11-2010
35,Rows Noump,Six,88,female,26-11-2010
